x,y_uu,y_dd
2.6460760E-02,8.4964333E-03,8.4172639E-03
2.6838590E-02,7.5090125E-03,7.4369856E-03
2.7227360E-02,6.6079380E-03,6.5441238E-03
2.7627560E-02,5.7977097E-03,5.7430270E-03
2.8039710E-02,5.0826974E-03,5.0378944E-03
2.8464330E-02,4.4667913E-03,4.4324254E-03
2.8902020E-02,3.9528504E-03,3.9292717E-03
2.9353370E-02,3.5423879E-03,3.5297235E-03
2.9819050E-02,3.2350144E-03,3.2331567E-03
3.0299740E-02,3.0280829E-03,3.0366818E-03
3.0796180E-02,2.9162765E-03,2.9347374E-03
3.1309160E-02,2.8913449E-03,2.9188331E-03
3.1839520E-02,2.9419600E-03,2.9774120E-03
3.2388150E-02,3.0537446E-03,3.0958877E-03
3.2956030E-02,3.2095275E-03,3.2569087E-03
3.3544170E-02,3.3898222E-03,3.4408447E-03
3.4153690E-02,3.5736026E-03,3.6265718E-03
3.4785770E-02,3.7393042E-03,3.7924818E-03
3.5441690E-02,3.8660812E-03,3.9177473E-03
3.6122810E-02,3.9352159E-03,3.9837357E-03
3.6830630E-02,3.9316032E-03,3.9754989E-03
3.7566750E-02,3.8451459E-03,3.8831688E-03
3.8332890E-02,3.6719208E-03,3.7031222E-03
3.9130920E-02,3.4149050E-03,3.4386998E-03
3.9962900E-02,3.0840811E-03,3.1002996E-03
4.0831010E-02,2.6958578E-03,2.7047797E-03
4.1737690E-02,2.2716439E-03,2.2740074E-03
4.2685540E-02,1.8358637E-03,1.8328430E-03
4.3677450E-02,1.4134780E-03,1.4066220E-03
4.4716550E-02,1.0275958E-03,1.0187253E-03
4.5806290E-02,6.9749358E-04,6.8855526E-04
4.6950480E-02,4.3747555E-04,4.3035802E-04
4.8153290E-02,2.5660961E-04,2.5293373E-04
4.9419360E-02,1.5891233E-04,1.5981798E-04
5.0753790E-02,1.4322264E-04,1.4918326E-04
5.0936630E-02,1.4699456E-04,1.5362154E-04
5.1412520E-02,1.6256440E-04,1.7086514E-04
5.1897390E-02,1.8612197E-04,1.9601546E-04
5.2162290E-02,2.0186883E-04,2.1257531E-04
5.2391490E-02,2.1694392E-04,2.2831760E-04
5.2895090E-02,2.5414532E-04,2.6685668E-04
5.3408470E-02,2.9666768E-04,3.1054665E-04
5.3931900E-02,3.4327089E-04,3.5812293E-04
5.4465700E-02,3.9254046E-04,4.0815059E-04
5.5010180E-02,4.4289478E-04,4.5903230E-04
5.5565640E-02,4.9261033E-04,5.0903427E-04
5.6132450E-02,5.3986883E-04,5.5633400E-04
5.6710930E-02,5.8280198E-04,5.9906554E-04
5.7301460E-02,6.1957145E-04,6.3539980E-04
5.7904420E-02,6.4844770E-04,6.6362346E-04
5.8520200E-02,6.6790523E-04,6.8223406E-04
5.9149220E-02,6.7672194E-04,6.9003909E-04
5.9791910E-02,6.7407482E-04,6.8625085E-04
6.0448720E-02,6.5962609E-04,6.7057169E-04
6.1120120E-02,6.3358875E-04,6.4325829E-04
6.1806600E-02,5.9676265E-04,6.0515610E-04
6.2508680E-02,5.5053170E-04,5.5769478E-04
6.3226890E-02,4.9681853E-04,5.0284088E-04
6.3961790E-02,4.3798954E-04,4.4300080E-04
6.4713980E-02,3.7671475E-04,3.8087849E-04
6.5484080E-02,3.1579273E-04,3.1929850E-04
6.6272720E-02,2.5795014E-04,2.6100376E-04
6.7080590E-02,2.0563057E-04,2.0844314E-04
6.7908400E-02,1.6080640E-04,1.6358257E-04
6.8756900E-02,1.2482493E-04,1.2775106E-04
6.9626860E-02,9.8315568E-05,1.0154865E-04
7.0519130E-02,8.1167624E-05,8.4825666E-05
7.1434560E-02,7.2589724E-05,7.6744535E-05
7.2374070E-02,7.1235234E-05,7.5908262E-05
7.3338620E-02,7.5381514E-05,8.0543389E-05
7.4329230E-02,8.3131878E-05,8.8705999E-05
7.5346960E-02,9.2609720E-05,9.8479937E-05
7.6392960E-02,1.0211775E-04,1.0813982E-04
7.7468400E-02,1.1024405E-04,1.1626012E-04
7.8574550E-02,1.1591648E-04,1.2177139E-04
7.9712760E-02,1.1841799E-04,1.2397583E-04
8.0884420E-02,1.1738906E-04,1.2254813E-04
8.2091040E-02,1.1283965E-04,1.1754372E-04
8.3334200E-02,1.0517624E-04,1.0942041E-04
8.4615600E-02,9.5223838E-05,9.9053443E-05
8.5937020E-02,8.4197605E-05,8.7699731E-05
8.7300370E-02,7.3569565E-05,7.6857610E-05
8.8707670E-02,6.4802037E-05,6.7995263E-05
